final_rank,compound_id,drug_name,NOD2_Scout_drugability,LE,ADMET_score,safety_score,BBB,PAINS_alerts,Tier,FINAL_SCORE
1,fda_760,FEBUXOSTAT,0.7964674507031066,0.259895845,0.9260743784556521,0.9535812615188403,0,0,1,0.907933933710444
3,fda_378,MEDRYSONE,0.834971399595859,0.2398841668,0.8755332122401168,0.9351107074670563,0,0,2,0.8769911832887209
7,fda_770,NEVIRAPINE,0.7957493189188262,0.26158247,0.9275544512577777,0.9585148375259257,1,0,2,0.851280427689102
8,fda_213,MESTRANOL,0.804077712219716,0.2263751860869565,0.8767151277632123,0.939050425877374,0,0,2,0.8511440045486245
10,fda_262,NANDROLONE,0.8077694944590582,0.2760819675,0.9160535772006725,0.9201785906689084,1,0,2,0.8453799607716672
11,fda_467,TRIAZOLAM,0.8105164995480982,0.2683763917391304,0.768047269697714,0.7990464545479357,0,0,2,0.8449760581984451
12,fda_2051,BELZUTIFAN,0.7902917090391642,0.21788408192307693,0.8840987941312036,0.963662647104012,0,0,2,0.8426747582489412
13,fda_161,GLUTETHIMIDE,0.7808169087750776,0.322061210625,0.919056985796603,0.9301899526553439,1,0,2,0.8400473096127428
14,fda_1347,FLUPREDNISOLONE,0.7827456317440027,0.22153119703703705,0.9109338003079049,0.9031126676930168,0,0,1,0.839778159503372
17,fda_209,NORETHINDRONE,0.8094549316112892,0.2579061336363636,0.9125579669627631,0.9085265565425444,1,0,2,0.836838659736932
18,fda_1784,DEOXYCHOLIC ACID,0.8035313171272368,0.2082408325,0.9194251026320673,0.9314170087735583,0,0,1,0.8364208964294544
22,fda_304,BETAMETHASONE,0.7872901910693823,0.2179351364285714,0.9100492147292895,0.9001640490976315,0,0,1,0.8356289402931469
23,fda_536,PRAZIQUANTEL,0.8118344742769834,0.24694818,0.9219430704658315,0.9398102348861055,1,0,2,0.8318284130043352
25,fda_592,PERGOLIDE,0.804303644971482,0.23660159090909091,0.7901009025635642,0.8725585641007699,0,0,2,0.8296305036454399
29,fda_1114,PHENPROCOUMON,0.7824474202803932,0.24863672238095239,0.7791937019205742,0.8362012286241367,0,0,2,0.8288108604336707
30,fda_363,TESTOLACTONE,0.7947991862866558,0.25810790045454546,0.9077895049965362,0.8926316833217877,1,0,2,0.8283346486926658
31,fda_17,ESTRADIOL,0.7819319745978754,0.2537771225,0.9181452769200117,0.9271509230667058,1,0,2,0.8283049433327322
34,fda_665,LOMEFLOXACIN,0.8142701072741602,0.237744732,0.9283325512486963,0.9611085041623211,1,0,2,0.826382957423385
37,fda_412,DYDROGESTERONE,0.8110557054650421,0.24354547000000001,0.7726084647491306,0.8142504380526573,0,0,2,0.8247002534751632
38,fda_612,URSODIOL,0.790707785124817,0.20073500714285714,0.9194251026320673,0.9314170087735583,0,0,1,0.8227602464229317
