#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
3.0%,152500,610.0000000014564,-3529814.774551036,575065.6716091065,310.7602149868428,0,--
3.1%,155000,620.0000000015042,-3529191.344482232,576540.2846700524,311.55708236124144,220,2:06:48
3.1%,157500,630.0000000015519,-3529093.895019429,575875.9585741258,311.1980866315645,220,2:06:41
3.2%,160000,640.0000000015997,-3532233.944449302,576720.8081204011,311.654635578222,220,2:06:57
3.2%,162500,650.0000000016474,-3531176.359502783,577913.2840072033,312.2990386112049,220,2:06:51
3.3%,165000,660.0000000016952,-3531422.5389384814,577599.0210552311,312.1292137940775,220,2:06:46
3.4%,167500,670.0000000017429,-3526481.095551111,575667.6945051113,311.0855426386673,220,2:06:35
3.4%,170000,680.0000000017907,-3525952.7429924123,577878.8057680393,312.280406886962,220,2:06:18
3.5%,172500,690.0000000018384,-3527565.939345168,575915.4050522991,311.21940314660407,220,2:06:08
3.5%,175000,700.0000000018862,-3527073.692815542,574553.7679436182,310.4835869407023,220,2:06:09
3.5%,177500,710.0000000019339,-3525898.4718395136,576616.8644638851,311.5984653795122,220,2:06:09
3.6%,180000,720.0000000019817,-3527146.912683863,576379.8453130372,311.4703824041063,220,2:06:01
3.6%,182500,730.0000000020294,-3527869.3777910564,575894.208425691,311.20794868398013,220,2:05:57
3.7%,185000,740.0000000020772,-3530349.8138666265,575719.0844978195,311.1133133194271,220,2:05:51
3.8%,187500,750.0000000021249,-3528697.021445604,574232.2111010829,310.30982057200714,220,2:05:49
3.8%,190000,760.0000000021727,-3530218.148371322,574467.3435330136,310.43688398181337,220,2:05:46
3.9%,192500,770.0000000022204,-3528332.737759182,575030.7228166705,310.74132897992723,220,2:05:39
3.9%,195000,780.0000000022682,-3525734.1892677452,577088.3251568781,311.8532384142204,220,2:05:36
4.0%,197500,790.0000000023159,-3529765.0536329094,575143.9598906224,310.802521256189,220,2:05:33
4.0%,200000,800.0000000023637,-3530000.1628834866,575203.4521057899,310.83467030365995,220,2:05:32
4.0%,202500,810.0000000024114,-3526570.5754522756,576102.8758444161,311.32071064336174,220,2:05:29
4.1%,205000,820.0000000024592,-3527148.7467782106,574549.5223571253,310.481292664698,220,2:05:26
4.2%,207500,830.0000000025069,-3529733.1253559683,576982.2872045292,311.7959364772495,220,2:05:24
