placebo_n,placebo_responders,placebo_rate,febux_40mg_n,febux_40mg_responders,febux_40mg_rate,febux_80mg_n,febux_80mg_responders,febux_80mg_rate,secondary_chi2_pvalue,exploratory_chi2_pvalue,primary_pvalue,primary_odds_ratio,primary_or_ci_low,primary_or_ci_high,primary_converged,risk_difference,risk_diff_ci_low,risk_diff_ci_high,risk_difference_40mg,trial_num
70,18,0.2571428571428571,70,25,0.35714285714285715,70,37,0.5285714285714286,0.001009154011747773,0.19968325932049968,0.000942398601221432,3.48853898486787,1.6636116031266261,7.315351868230888,True,0.27142857142857146,0.11428571428571427,0.4142857142857143,0.10000000000000003,1
70,18,0.2571428571428571,70,27,0.38571428571428573,70,41,0.5857142857142857,8.26377928895549e-05,0.10337863067113565,0.00012556980631800262,4.0781659912892705,1.9882548396345905,8.364842132392338,True,0.3285714285714286,0.17142857142857143,0.48571428571428565,0.12857142857142861,2
70,15,0.21428571428571427,70,28,0.4,70,32,0.45714285714285713,0.0023466578926719427,0.01723287401247834,0.0025344175029713718,3.243520695715665,1.5110605615436252,6.962279852495574,True,0.24285714285714285,0.1,0.38571428571428573,0.18571428571428575,3
70,14,0.2,70,32,0.45714285714285713,70,38,0.5428571428571428,2.6939966535010783e-05,0.0012000374428290186,3.726434815645767e-05,5.014912711675758,2.330466765528665,10.79155037854487,True,0.3428571428571428,0.19999999999999998,0.4857142857142857,0.2571428571428571,4
70,17,0.24285714285714285,70,28,0.4,70,38,0.5428571428571428,0.00027899221057136475,0.04652253842775168,0.0003507659734134046,3.798204750756871,1.8272318241821308,7.895199250445029,True,0.29999999999999993,0.12857142857142861,0.4428571428571429,0.15714285714285717,5
70,21,0.3,70,26,0.37142857142857144,70,37,0.5285714285714286,0.006048674346503783,0.37087457439362603,0.006471824636278599,2.63775610445036,1.3122694230583543,5.302079850606821,True,0.2285714285714286,0.0714285714285714,0.38571428571428573,0.07142857142857145,6
70,19,0.2714285714285714,70,26,0.37142857142857144,70,40,0.5714285714285714,0.00032525998181950157,0.2052414766210149,0.0003679166914181759,3.750417849919274,1.812192893941279,7.7616649397637945,True,0.3,0.1428571428571428,0.4571428571428571,0.10000000000000003,7
70,20,0.2857142857142857,70,25,0.35714285714285715,70,38,0.5428571428571428,0.0020132384105285327,0.36555659141522145,0.001460756799099691,3.2423496875520015,1.5711961739187001,6.690973203014265,True,0.2571428571428571,0.08571428571428574,0.4142857142857143,0.07142857142857145,8
70,19,0.2714285714285714,70,27,0.38571428571428573,70,31,0.44285714285714284,0.034293721036493065,0.15000938577412762,0.038522411611770065,2.122120059478186,1.0405392892019156,4.327941860123094,True,0.17142857142857143,0.01428571428571429,0.32857142857142857,0.11428571428571432,9
70,20,0.2857142857142857,70,33,0.4714285714285714,70,35,0.5,0.009438207425496569,0.023499367457131843,0.00850331530897854,2.5845352238811063,1.2741633309708476,5.242516529174072,True,0.2142857142857143,0.05678571428571427,0.37142857142857144,0.18571428571428572,10
