mw,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,num_heavy_atoms,num_rings,qed,lipinski_violations,veber_violations,pains_alerts,permeability_score,pgp_risk,compound_id,smiles,cnn_affinity,type,drug_name,ligand_efficiency,label_le,le_score
749.956,5.254120000000005,156.89,2,10,8,3,0.5526315789473685,52,7,0.293723959783343,2,1,0,0.0,1,fda_1628,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,6.50695038,FDA,SIMEPREVIR,0.12513366115384617,-1,0.0052097435
365.8420000000001,2.714120000000001,92.5,2,4,2,2,0.1875,24,3,0.8553020577996142,0,0,0,0.3392857142857143,0,fda_1149,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C,5.24769831,FDA,METOLAZONE,0.21865409624999999,-1,0.98762554
360.429,3.675200000000003,52.61,1,5,12,2,0.35,26,2,0.5854024605222118,0,1,0,0.6242142857142857,0,fda_1775,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,4.70371199,FDA,FLORBETAPIR,0.18091199961538462,-1,0.9867519
454.3320000000002,-2.8705599999999976,213.75,4,12,7,1,0.4117647058823529,31,3,0.2101942403384005,1,1,0,0.0,0,fda_1324,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,4.64546061,FDA,RIBOFLAVIN PHOSPHATE,0.14985356806451613,-1,0.01837269
499.6190000000003,4.509800000000003,87.55,2,8,10,4,0.25,37,4,0.3105348061023151,0,0,0,0.3746428571428571,1,fda_1812,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.13331795,FDA,OSIMERTINIB,0.13873832297297298,-1,0.23072946
521.5960000000002,-2.4744,270.21999999999997,2,17,8,2,0.5,31,3,0.2685718496326046,2,1,0,0.0,1,fda_1682,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO[P@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])O1,4.74180841,FDA,M CLADRIBINE,0.15296156161290322,-1,0.008087928
551.7690000000003,3.2935000000000043,146.13,4,7,19,1,0.7333333333333333,39,1,0.1929941025707706,1,2,0,0.0,0,fda_1307,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,5.60153198,FDA,ALISKIREN,0.14362902512820513,-1,0.015584262
152.113,-1.0605000000000004,94.4,3,3,0,2,0.0,11,2,0.4486681238776369,0,0,0,0.3257142857142856,0,fda_1755,O=c1[nH]c(=O)c2cn[nH]c2[nH]1,4.11631584,FDA,M ALLOPURINOL,0.37421053090909095,1,0.99432194
436.5550000000003,-0.7570999999999966,112.6,1,8,8,1,0.55,29,3,0.5661132077880987,0,0,0,0.1957142857142857,0,fda_1681,C[C@H](N[C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CC2(C[C@H]1C(=O)[O-])SCCS2,4.43182135,FDA,SPIRAPRILAT,0.15282142586206895,-1,0.8682162
292.37899999999996,1.6990999999999998,70.58999999999999,3,4,5,1,0.5625,21,2,0.7723075202218123,0,0,0,0.4957857142857144,0,fda_1180,CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,3.21930432,FDA,CARTEOLOL,0.1533002057142857,-1,0.99017334
358.39300000000014,0.9455199999999992,77.4,1,6,3,2,0.4736842105263157,26,4,0.8838535055660096,0,0,0,0.447142857142857,0,fda_1199,Cc1c(F)c(N2CCN[C@H](C)C2)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1,4.80435896,FDA,GREPAFLOXACIN,0.18478303692307693,-1,0.9457218
604.7209999999999,-0.0373999999999988,179.7,2,14,9,3,0.2727272727272727,39,5,0.1448488994610021,2,1,0,0.0,1,fda_1566,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(N)n1,4.83029604,FDA,M CEFTAROLINE,0.12385374461538462,0,0.0076537286
404.55100000000016,3.4323000000000023,71.03000000000002,2,5,11,1,0.6956521739130435,29,3,0.5530897750136828,0,1,0,0.492642857142857,0,fda_1728,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,4.53364134,FDA,ELIGLUSTAT,0.15633246,-1,0.98173505
670.855,3.092400000000003,166.75,5,7,12,3,0.5,49,5,0.1975020712188346,1,2,0,0.0,1,fda_1268,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,5.4330163,FDA,SAQUINAVIR,0.11087788367346939,0,0.0065053664
612.6320000000002,3.6271200000000023,200.00999999999996,5,11,8,3,0.3870967741935484,44,4,0.183746289747101,2,1,0,0.0,1,fda_1000,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,5.71098089,FDA,NOVOBIOCIN,0.12979502022727274,-1,0.00712996
404.5070000000002,2.423,68.31,0,6,6,1,0.6363636363636364,29,3,0.6786181154392725,0,0,0,0.5120714285714285,0,fda_1460,CCN(CC)C(=O)[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@H]1OC(C)=O,4.1828413,FDA,BENZQUINAMIDE,0.14423590689655172,-1,0.92324597
265.356,3.620200000000003,21.26,1,2,3,2,0.2222222222222222,20,3,0.8558224264516979,0,0,0,0.8481428571428572,0,fda_1747,CNCC/C=C1\c2ccccc2COc2ccccc21,4.11050367,FDA,M DOXEPIN,0.20552518349999999,-1,0.9842919
448.9500000000001,5.683140000000005,69.64,2,3,3,3,0.2307692307692307,32,4,0.540891219756549,1,0,0,0.5025714285714286,1,fda_1492,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@H](O)c3cc(Cl)ccc32)c(C)c1,5.44702864,FDA,TOLVAPTAN,0.170219645,-1,0.7077433
341.4510000000001,3.2414000000000023,58.559999999999995,2,4,11,2,0.3809523809523809,25,2,0.4865357366381187,0,1,0,0.5817142857142857,0,fda_1178,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,3.94263721,FDA,PROPAFENONE,0.1577054884,-1,0.9846934
